rolling_avg_receptions,rolling_avg_targets,rolling_avg_actual_fantasy_points,avg_points_allowed_to_pos,actual_fantasy_points
0.0,0.0,21.379999604076147,16.279671974846575,20.4399995803833
0.0,0.0,22.16499949619174,12.662187374895439,8.139999687671661
0.0,0.0,19.79499959014356,13.880338815056671,28.51999932527542
0.0,0.0,19.669999485835433,13.003188277068345,2.679999828338623
0.0,0.0,14.944999605417252,13.049999875831418,4.119999885559082
0.0,0.0,10.864999681711197,15.19046139980738,11.199999928474426
0.0,0.0,11.629999741911888,16.01212103484255,12.08000011742115
0.0,0.0,7.51999993994832,12.662187374895439,11.899999916553497
0.0,0.0,9.824999962002039,13.088533184727034,15.4399995803833
0.0,0.0,12.654999885708094,17.204374801018275,13.09999942779541
0.0,0.0,13.12999976053834,12.61939376694235,8.57999962568283
0.0,0.0,12.25499963760376,13.880338815056671,11.83999939262867
0.0,0.0,11.794999754056334,12.61939376694235,5.879999995231628
